Rank,State,Code,Population
Rank,State,FIPS Code,Population
1,California,06000,"38,965,193"
2,Texas,48000,"30,503,301"
3,Florida,12000,"22,610,726"
4,New York,36000,"19,571,216"
5,Pennsylvania,42000,"12,961,683"
6,Illinois,17000,"12,549,689"
7,Ohio,39000,"11,785,935"
8,Georgia,13000,"11,029,227"
9,North Carolina,37000,"10,835,491"
10,Michigan,26000,"10,037,261"
11,New Jersey,34000,"9,290,841"
12,Virginia,51000,"8,715,698"
13,Washington,53000,"7,812,880"
14,Arizona,04000,"7,431,344"
15,Tennessee,47000,"7,126,489"
16,Massachusetts,25000,"7,001,399"
17,Indiana,18000,"6,862,199"
18,Missouri,29000,"6,196,156"
19,Maryland,24000,"6,180,253"
20,Wisconsin,55000,"5,910,955"
21,Colorado,08000,"5,877,610"
22,Minnesota,27000,"5,737,915"
23,South Carolina,45000,"5,373,555"
24,Alabama,01000,"5,108,468"
25,Louisiana,22000,"4,573,749"
26,Kentucky,21000,"4,526,154"
27,Oregon,41000,"4,233,358"
28,Oklahoma,40000,"4,053,824"
29,Connecticut,09000,"3,617,176"
30,Utah,49000,"3,417,734"
31,Iowa,19000,"3,207,004"
32,Nevada,32000,"3,194,176"
33,Arkansas,05000,"3,067,732"
34,Kansas,20000,"2,940,546"
35,Mississippi,28000,"2,939,690"
36,New Mexico,35000,"2,114,371"
37,Nebraska,31000,"1,978,379"
38,Idaho,16000,"1,964,726"
39,West Virginia,54000,"1,770,071"
40,Hawaii,15000,"1,435,138"
41,New Hampshire,33000,"1,402,054"
42,Maine,23000,"1,395,722"
43,Montana,30000,"1,132,812"
44,Rhode Island,44000,"1,095,962"
45,Delaware,10000,"1,031,890"
46,South Dakota,46000,"919,318"
47,North Dakota,38000,"783,926"
48,Alaska,02000,"733,406"
49,District of Columbia,11000,"678,972"
50,Vermont,50000,"647,464"
51,Wyoming,56000,"584,057"
